NE-OMA   0.08518435 -1.1185052
MI-GR    0.44843116 -1.0520577
NE-GI    -0.18839121 -1.1706588
TX-TEX   0.3594726 -1.0727825
PA-PHI   -0.105132334 -1.1510315
MN-SC    0.23797117 -1.0891684
IL-CHI   -0.019009912 -1.142045
TX-HOU   0.053543888 -1.1301664
WI-EC    0.31666735 -1.0858784
TX-SA    -0.1375373 -1.1625826
MO-SL    0.5436363 -1.0436603
IL-QUI   0.46493968 -1.0557122
CA-LA    0.49714124 -1.0418422
AL-HUN   0.17920619 -1.1045008
PA-HAR   0.01524355 -1.1228911
LA-LC    -0.16641681 -1.1632229
AR-LR    0.40246898 -1.0656503
VA-ROA   0.1075103 -1.1186595
OK-OC    0.4829765 -1.0502015
TX-LAR   0.06576608 -1.1226689
TX-AMA   -0.1106563 -1.1607409
MN-MAN   -0.13270907 -1.1558659
IA-DM    0.15722102 -1.1122246
NC-CHA   -0.11214407 -1.1603103
GA-ATL   0.41047883 -1.0642412
CO-DEN   -0.12852333 -1.1602896
KY-LOU   0.0007021876 -1.135662
AL-MON   0.45025858 -1.063
IL-SPR   0.3071568 -1.0754791
IL-PEO   0.13285446 -1.1111443
IL-CHA   0.15297408 -1.1060047
TX-EP    0.07306024 -1.1191411
VA-RIC   0.25926113 -1.090882
AZ-PHO   0.17160802 -1.1099155
KS-TOP   0.06213015 -1.1207312
TN-CHA   0.40283114 -1.0600799
OR-EUG   0.13820955 -1.1169666
NC-WS    0.32851148 -1.0799197
UT-SLC   0.56048363 -1.03596
AL-BIR   0.028593939 -1.1323968
IN-GAR   0.16567646 -1.1099486
OR-POR   0.45906186 -1.055914
OH-TOL   -0.023539476 -1.1364303
OK-TUL   0.40055528 -1.072141
MI-DET   0.03664674 -1.1302571
MO-KC    0.35474762 -1.0696737
TX-DAL   0.30196184 -1.0895485
IN-IND   0.74227476 -0.9961083
IA-SC    -0.25658643 -1.1852694
GA-MAC   0.26778185 -1.0895448
NV-LV    -0.11738638 -1.148829
KY-LEX   0.48217085 -1.0468999
MA-SPR   0.5383816 -1.0420371
CA-SAC   0.40444985 -1.0612072
MO-SPR   0.12642123 -1.1201513
GA-SAV   0.13487083 -1.1101593
CA-BAK   -0.0022860577 -1.143618
AR-FS    0.49613702 -1.0433104
TX-WAC   0.40129015 -1.0721098
MS-JAC   -0.011840108 -1.1392025
LA-NO    0.19132954 -1.1044959
MN-MIN   0.3324416 -1.0783514
KS-COL   0.36519176 -1.0721809
FL-ORL   -0.039351664 -1.1427207
CA-RED   0.14998674 -1.1043191
IA-WAT   0.42614767 -1.0536808
AL-MOB   0.10320712 -1.1131177
IA-CR    0.37677765 -1.0660721
WA-SPO   0.61470675 -1.0196798
PA-PIT   0.6969219 -1.0143112
OH-COL   0.5186191 -1.0370663
SC-COL   -0.23526792 -1.1735424
OH-CIN   0.24150191 -1.093853
NJ-NEW   0.350987 -1.0658444
WI-MAD   0.14401738 -1.1068183
CA-SF    0.209839 -1.0971401
TX-WF    0.300939 -1.0790292
NC-FAY   0.26376224 -1.0889554
WA-SEA   0.5832672 -1.0244176
CT-HAR   0.15350927 -1.1060154
NY-ALB   -0.12014619 -1.1545948
WI-GB    -0.009980169 -1.13381
NY-SYR   0.38626963 -1.0673262
OH-CLE   0.58460146 -1.027596
CO-GJ    0.47614178 -1.0513022
GA-ALB   -0.008021022 -1.1344494
NH-MAN   0.4174954 -1.0594089
ND-FAR   0.20823668 -1.1021345
PA-ERI   -0.08124134 -1.1483682
MI-TC    0.22798958 -1.0993379
NM-ALB   -0.100157596 -1.1531047
TN-NAS   0.26710322 -1.0903848
WI-MIL   0.18204883 -1.1045566
TN-KNO   0.07581225 -1.1184165
NJ-AC    0.12502553 -1.1121935
KS-WIC   0.2323616 -1.0895582
MA-BOS   0.198147 -1.1028612
NV-REN   0.1214648 -1.114994
CA-FRE   0.26276037 -1.0909165
MD-BAL   -0.21225928 -1.1760755
IN-FW    0.22799747 -1.0957556
TN-MEM   0.14138131 -1.1067421
ID-BOI   0.4725342 -1.0555013
PA-SCR   0.15304962 -1.1060525
KS-DC    -0.18269998 -1.1774759
NY-NY    -0.016082535 -1.1414156
AZ-TUC   0.4655586 -1.0488358
SC-GRE   0.4262485 -1.0563607
IN-EVA   0.36865854 -1.0662125
MN-BRA   -0.12616353 -1.1540236
MO-JC    -0.11202918 -1.15532
NC-RAL   -0.070626415 -1.145961
SC-CHA   0.6377227 -1.0175216
NY-BUF   0.46753767 -1.0479823
SD-SF    0.03451255 -1.133528
ME-BAN   0.44409594 -1.0594987
FL-MIA   -0.11934794 -1.156211
MI-ESC   -0.09480573 -1.1478071
NY-POU   0.1955944 -1.093828
CA-SD    0.21594925 -1.0992281
MT-MIS   -0.07171398 -1.1444526
ME-POR   0.17076984 -1.1048415
DE-WIL   0.31332046 -1.0820965
TX-ABI   0.13452548 -1.1150396
FL-JAC   0.20546722 -1.1058695
WI-SUP   0.21425423 -1.1026212
WY-CHE   -0.089907676 -1.154488
MO-CG    -0.18450224 -1.1669295
NY-WP    0.16281466 -1.106031
PA-WIL   -0.03940698 -1.1410636
SD-RC    0.23160891 -1.0971842
FL-TAL   0.4834252 -1.0428342
CO-CS    -0.021078095 -1.1482754
FL-PEN   0.42682517 -1.0556941
VA-WIN   -0.0026872705 -1.1332148
WY-RS    0.32708502 -1.0767144
OR-BEN   0.2753352 -1.0840601
MO-WIL   0.13785318 -1.1140577
NE-SB    0.5132441 -1.047422
VT-BUR   0.21903335 -1.0909271
WV-CHA   0.26416665 -1.0893815
ND-MIN   0.07008566 -1.1328838
MT-BIL   0.16679293 -1.1089147
AZ-FLA   -0.067306176 -1.1486237
UT-PRO   0.4083311 -1.0570067
